Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-02-16","00:00","2009-02-16","07:00",2009,47,3.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-05-25","00:00","2009-05-25","07:00",2009,145,3.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-07-03","00:00","2009-07-03","07:00",2009,184,6.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-07-04","00:00","2009-07-04","07:00",2009,185,38.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"Fireworks","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-09-07","00:00","2009-09-07","07:00",2009,250,6.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-10-12","00:00","2009-10-12","07:00",2009,285,8.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2009-11-11","00:00","2009-11-11","07:00",2009,315,15.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-01-01","00:00","2010-01-01","07:00",2010,1,9.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-05-31","00:00","2010-05-31","07:00",2010,151,4.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-07-04","00:00","2010-07-04","07:00",2010,185,16.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-07-05","00:00","2010-07-05","07:00",2010,186,11.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-09-06","00:00","2010-09-06","07:00",2010,249,4.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-10-11","00:00","2010-10-11","07:00",2010,284,6.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-11-11","00:00","2010-11-11","07:00",2010,315,6.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-12-24","00:00","2010-12-24","07:00",2010,358,16.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-12-25","00:00","2010-12-25","07:00",2010,359,19.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2010-12-31","00:00","2010-12-31","07:00",2010,365,5.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-02-18","00:00","2013-02-18","07:00",2013,49,11.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-01-18","00:00","2011-01-18","07:00",2011,18,5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-02-21","00:00","2011-02-21","07:00",2011,52,5.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-07-04","00:00","2011-07-04","07:00",2011,185,15.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-09-05","00:00","2011-09-05","07:00",2011,248,9.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-10-10","00:00","2011-10-10","07:00",2011,283,3.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-11-11","00:00","2011-11-11","07:00",2011,315,20.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-11-24","00:00","2011-11-24","07:00",2011,328,2.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-12-25","00:00","2011-12-25","07:00",2011,359,29.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-12-26","00:00","2011-12-26","07:00",2011,360,35.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-01-16","00:00","2012-01-16","07:00",2012,16,4.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-02-20","00:00","2012-02-20","07:00",2012,51,4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-07-04","00:00","2012-07-04","07:00",2012,186,23.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-09-03","00:00","2012-09-03","07:00",2012,247,6.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-10-08","00:00","2012-10-08","07:00",2012,282,7.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-11-11","00:00","2012-11-11","07:00",2012,316,6.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-11-12","00:00","2012-11-12","07:00",2012,317,13,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-11-22","00:00","2012-11-22","07:00",2012,327,2.1,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-12-25","00:00","2012-12-25","07:00",2012,360,8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-01-02","00:00","2012-01-02","07:00",2012,2,22.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2012-01-01","00:00","2012-01-01","07:00",2012,1,21.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-01-21","00:00","2013-01-21","07:00",2013,21,34.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-05-27","00:00","2013-05-27","07:00",2013,147,3.1,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2013-01-01","00:00","2013-01-01","07:00",2013,1,23.9,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
40.78422,-111.931,"WGS84",20,"49","035","3010","88101",1,"PM2.5 - Local Conditions","2011-01-01","00:00","2011-01-01","07:00",2011,1,12.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC-Gravimetric"
