Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2000-12-27","00:00","2000-12-27","07:00",2000,362,37.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2002-02-21","00:00","2002-02-21","07:00",2002,52,15.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2001-11-28","00:00","2001-11-28","07:00",2001,332,10.3,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","1999-07-29","00:00","1999-07-29","07:00",1999,210,5.5,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","1999-05-09","00:00","1999-05-09","07:00",1999,129,4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","1999-03-29","00:00","1999-03-29","07:00",1999,88,9.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2002-10-06","00:00","2002-10-06","07:00",2002,279,5.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2001-04-02","00:00","2001-04-02","07:00",2001,92,5.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2000-05-06","00:00","2000-05-06","07:00",2000,127,7.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2002-08-17","00:00","2002-08-17","07:00",2002,229,7.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","1999-01-25","00:00","1999-01-25","07:00",1999,25,24.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2002-11-21","00:00","2002-11-21","07:00",2002,325,27.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","1999-03-24","00:00","1999-03-24","07:00",1999,83,7.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2000-09-13","00:00","2000-09-13","07:00",2000,257,10.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2001-03-15","00:00","2001-03-15","07:00",2001,74,4.7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2003-08-01","00:00","2003-08-01","07:00",2003,213,6.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2003-09-02","00:00","2003-09-02","07:00",2003,245,4.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2002-11-17","00:00","2002-11-17","07:00",2002,321,17.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2001-03-12","00:00","2001-03-12","07:00",2001,71,5.6,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2001-08-22","00:00","2001-08-22","07:00",2001,234,5.2,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2003-01-03","00:00","2003-01-03","07:00",2003,3,25.4,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2000-09-15","00:00","2000-09-15","07:00",2000,259,9.8,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
40.736389,-111.872222,"WGS84",24.29,"49","035","3006","88101",1,"PM2.5 - Local Conditions","2003-08-29","00:00","2003-08-29","07:00",2003,241,7,"Micrograms/cubic meter (LC)","24 HOUR","EVERY DAY",2,,"","Reference","R & P Model 2025 PM2.5 Sequential w/WINS-GRAVIMETRIC"
